id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,League,G90,A90,G+A90,xG90,xA90,xG+A90
2186,Morales,24,1799,7,5.515338651835918,1,1.560540670529008,41,15,5,0,F M S,Levante,7,4.772061042487621,7.817413065582514,2.0335319684818387,La_Liga,0.35019455252918286,0.05002779321845469,0.40022234574763754,0.27592022160379803,0.07807040597421384,0.35399062757801186
2384,Santi Mina,25,1964,7,8.488335590809584,3,2.0143907759338617,50,18,4,0,F,Celta Vigo,7,7.7450579814612865,10.217640921473503,2.041664427146316,La_Liga,0.3207739307535642,0.13747454175152748,0.4582484725050917,0.3889766818599096,0.09230914961000385,0.48128583146991344
2543,Borja Iglesias,22,937,7,5.921465836465359,0,1.0360532701015472,28,9,3,0,F S,Real Betis,5,4.434910591691732,4.953122844919562,0.638685118407011,La_Liga,0.6723585912486659,0.0,0.6723585912486659,0.5687640611332788,0.09951418816343571,0.6682782492967145
4175,Pere Milla,21,982,7,4.001045068725944,2,0.9423487866297364,19,5,3,0,F M S,Elche,7,4.001045068725944,7.37839006818831,2.5359076485037804,La_Liga,0.6415478615071284,0.18329938900203666,0.8248472505091651,0.3666945582335386,0.08636597840802065,0.4530605366415592
2399,Iñaki Williams,26,1892,6,7.642494395375252,2,5.402624804526568,58,23,2,0,F S,Athletic Club,6,7.642494395375252,15.353903166949747,3.1818098621442914,La_Liga,0.2854122621564482,0.09513742071881608,0.3805496828752643,0.3635436023170046,0.25699589450707777,0.6205394968240824
3667,Nabil Fekir,24,2009,6,4.266589095816016,7,6.661638006567955,66,59,7,0,M S,Real Betis,6,4.266589095816016,11.520965613424778,4.816104501485825,La_Liga,0.26879044300647087,0.313588850174216,0.5823792931806868,0.1911363955318275,0.2984307718223574,0.48956716735418493
6637,Hugo Duro,23,1457,6,3.886422038078308,1,0.4761869795620441,29,10,0,1,F M S,"Getafe,Valencia",6,3.886422038078308,5.285557355731726,1.96575846336782,La_Liga,0.37062457103637614,0.06177076183939602,0.43239533287577214,0.24006725012151525,0.029414432505548364,0.2694816826270636
7779,Oihan Sancet,21,1056,6,3.5077485106885438,4,2.807386413216591,24,20,0,0,F S,Athletic Club,6,3.5077485106885438,9.27859117090702,3.7772007938474417,La_Liga,0.5113636363636364,0.34090909090909094,0.8522727272727273,0.29895583897913725,0.23926588749005034,0.5382217264691875
8978,Luis Suárez,26,2155,6,6.145847320556641,3,3.1857817862182856,61,25,4,0,F M S,Granada,6,5.402569681406021,8.793262299150229,2.208722021430731,La_Liga,0.2505800464037123,0.12529002320185614,0.37587006960556846,0.256671117795869,0.1330488913037799,0.3897200090996489
9024,Yeremi Pino,25,1395,6,6.458010349422693,4,3.133675428107381,22,22,2,0,F M S,Villarreal,6,6.458010349422693,10.974755585193634,3.552375938743353,La_Liga,0.3870967741935484,0.25806451612903225,0.6451612903225806,0.41664582899501246,0.2021726082649923,0.6188184372600047
696,Falcao,17,650,5,3.877971075475216,0,0.2134016556665301,28,4,1,0,F S,Rayo Vallecano,5,3.877971075475216,3.3315507685765624,0.1707348544150591,La_Liga,0.6923076923076923,0.0,0.6923076923076923,0.5369498412196453,0.029547921553827246,0.5664977627734725
1109,Lucas Ocampos,20,1505,5,4.685564385727048,2,0.8308770898729563,38,15,5,0,F M S,Sevilla,5,4.685564385727048,7.3213404435664415,3.101416887715459,La_Liga,0.29900332225913623,0.11960132890365449,0.4186046511627907,0.28019986359829524,0.04968700205220336,0.32988686565049863
1715,Álvaro Negredo,23,1356,5,3.87837397120893,1,1.5369996670633554,31,11,2,0,F M S,Cadiz,3,2.391818752512336,3.7338250097818673,0.7484573200345039,La_Liga,0.33185840707964603,0.0663716814159292,0.39823008849557523,0.25741420162891127,0.10201325223871828,0.35942745386762953
2301,Manu Trigueros,24,1575,5,4.694812767207623,3,2.748530860990286,30,19,2,0,F M S,Villarreal,5,4.694812767207623,12.089985653758047,7.237137772142887,La_Liga,0.2857142857142857,0.17142857142857143,0.45714285714285713,0.26827501526900704,0.15705890634230205,0.4253339216113091
5074,Kike García,24,1457,5,5.499400751665235,1,1.9468979705125091,42,18,0,0,F M S,Osasuna,4,4.75612317211926,7.090900618582964,1.6612161053344607,La_Liga,0.3088538091969801,0.06177076183939602,0.3706245710363761,0.3397021740905087,0.12026137086213165,0.45996354495264036
7071,Álvaro García,24,1941,5,4.811204576864839,2,3.685200821608305,51,27,4,0,M S,Rayo Vallecano,5,4.811204576864839,10.88161400705576,2.940548961982131,La_Liga,0.23183925811437403,0.09273570324574962,0.32457496136012365,0.223085219947365,0.17087484489683022,0.3939600648441952
7080,Matheus Cunha,20,627,5,4.282932168804109,2,1.083470344543457,21,4,3,0,F S,Atletico Madrid,5,4.282932168804109,5.361054988577962,1.5230130776762962,La_Liga,0.7177033492822966,0.28708133971291866,1.0047846889952152,0.61477495245992,0.1555220590253766,0.7702970114852966
7224,Boulaye Dia,17,912,5,4.741950076073408,4,2.154567211866379,30,12,2,0,F S,Villarreal,5,4.741950076073408,8.6147515848279,2.061793025583029,La_Liga,0.4934210526315789,0.39473684210526316,0.888157894736842,0.4679555996125074,0.21262176432891897,0.6805773639414263
7887,Luuk de Jong,15,558,5,4.200590396299958,0,0.2503545805811882,20,5,0,0,F S,Barcelona,5,4.200590396299958,4.448193090036511,1.1186936125159264,La_Liga,0.8064516129032258,0.0,0.8064516129032258,0.6775145800483804,0.04037977106148197,0.7178943511098623
644,Erik Lamela,12,588,4,1.85529775172472,1,1.559736905619502,14,14,4,0,F S,Sevilla,4,1.85529775172472,6.085573274642229,3.678606312721968,La_Liga,0.6122448979591837,0.15306122448979592,0.7653061224489797,0.283974145672151,0.23873524065604623,0.5227093863281973
1491,Alejandro Gomez,21,1301,4,1.7834719736129043,1,1.565483970567584,24,13,2,0,F M S,Sevilla,4,1.7834719736129043,6.799973502755165,3.9280325081199408,La_Liga,0.2767102229054573,0.06917755572636433,0.34588777863182163,0.12337623184101568,0.10829635461266914,0.23167258645368483
2228,Aritz Elustondo,23,1749,4,2.02924161311239,1,0.2580984830856323,11,1,3,1,D S,Real Sociedad,4,2.02924161311239,4.858530644327402,4.777470290660858,La_Liga,0.2058319039451115,0.051457975986277875,0.25728987993138935,0.10442066619789314,0.013281225544715213,0.11770189174260835
2400,Raúl García,24,1394,4,5.135892087593675,1,3.094094743952155,35,16,2,0,F S,Athletic Club,4,4.3926144782453775,7.524532528594136,1.7132464684545994,La_Liga,0.2582496413199426,0.06456241032998565,0.32281205164992827,0.33158557236974945,0.19976221445889092,0.5313477868286404
2566,Roger,20,1540,4,5.680308541283011,2,2.093720093369484,34,14,6,0,F S,Levante,3,4.193753322586417,7.936843422241509,2.84018721152097,La_Liga,0.23376623376623376,0.11688311688311688,0.35064935064935066,0.3319660835814747,0.1223602651969179,0.4543263487783926
2571,Sergio Canales,24,1942,4,3.3183060735464096,6,3.6001362800598145,40,42,4,0,M S,Real Betis,4,3.3183060735464096,11.484086889773607,6.517879502847791,La_Liga,0.1853759011328527,0.2780638516992791,0.4634397528321318,0.15378349465457097,0.1668446267792911,0.3206281214338621
4120,Álex Moreno,21,1695,4,2.1716455863788724,2,1.5502768978476524,21,17,2,1,D S,Real Betis,4,2.1716455863788724,6.651258483529091,4.131523774936795,La_Liga,0.21238938053097345,0.10619469026548672,0.3185840707964602,0.11530861520595782,0.08231558749633552,0.19762420270229336
5090,David García,24,2160,4,0.8738429322838783,0,0.506973315961659,19,5,5,0,D,Osasuna,4,0.8738429322838783,3.7453681845217934,3.5850371308624744,La_Liga,0.16666666666666669,0.0,0.16666666666666669,0.03641012217849493,0.021123888165069122,0.05753401034356405
5232,Alexander Isak,21,1395,4,5.580788787454367,2,2.332137418910861,43,10,2,0,F M S,Real Sociedad,3,4.83751117810607,7.265391878783703,1.390103530138731,La_Liga,0.25806451612903225,0.12903225806451613,0.3870967741935484,0.3600508895131849,0.1504604786394104,0.5105113681525953
6221,Pau Torres,23,2027,4,3.5047412551939487,0,1.3492038697004318,19,8,3,0,D,Villarreal,4,3.5047412551939487,10.239224763587115,10.09547066502273,La_Liga,0.17760236803157378,0.0,0.17760236803157378,0.15561258656509885,0.059905450554039896,0.21551803711913875
