ranks,school,g,pace,ortg,efg,tov,orb,ft_fga
111,Georgia Tech,32,68.6,98.4,0.502,16.7,25.7,0.172
112,Georgia,32,69.8,100,0.502,18.4,25.6,0.292
113,Gonzaga ,32,73.8,118.1,0.587,13.9,29.1,0.219
114,Grambling,32,70.5,92.8,0.451,17.6,27.9,0.234
115,Grand Canyon,31,67.7,105,0.5,16.2,34.7,0.21
116,Green Bay,30,64.9,95.1,0.468,17.4,27.3,0.226
117,Hampton,28,69.2,92.7,0.451,16,23.1,0.253
118,Hartford,32,67.1,103.7,0.533,16.2,23.8,0.191
119,Harvard,26,69.7,101.1,0.503,15.4,25.4,0.182
120,Hawaii,28,66.2,104,0.516,17.3,29.1,0.242
121,High Point,32,67.7,100,0.499,16.7,28.3,0.219
122,Hofstra,32,70.5,109.7,0.539,13,23.7,0.166
123,Holy Cross,31,67.9,96.1,0.464,16,27.6,0.199
124,Houston Baptist,29,72.2,102.9,0.504,17.8,31.9,0.272
125,Houston ,37,65.2,114.8,0.536,14.1,37.7,0.194
126,Howard,29,73.4,103.6,0.51,17.5,28.9,0.262
127,Idaho State,30,65.9,97.2,0.484,18.2,28.8,0.232
128,Idaho,31,71.3,101.5,0.512,17,23.6,0.258
129,Illinois-Chicago,30,69.4,102.4,0.514,15.2,24.6,0.161
130,Illinois State,33,69.2,104.4,0.518,17,28.5,0.234
131,Illinois ,33,67.9,108.8,0.525,15.5,33.1,0.226
132,Incarnate Word,32,68.4,97.9,0.494,17.7,23.6,0.223
133,Indiana State,31,69.4,99.5,0.518,17.1,18.6,0.206
134,Indiana ,35,67.9,103.2,0.506,15.2,27,0.234
135,Iona,33,70.2,106.3,0.507,15.4,31.8,0.258
136,Iowa State ,35,67.2,96.9,0.491,17.9,28.4,0.185
137,Iowa ,36,70.3,117.5,0.533,11.1,32.2,0.225
138,Purdue-Fort Wayne,33,69.4,104.3,0.54,17.2,23.2,0.204
139,IUPUI,29,63.4,82.7,0.43,22.6,31.1,0.176
140,Jackson State,30,65.9,92.1,0.453,17.1,31.4,0.168
141,Jacksonville State ,32,67.5,108.6,0.549,16.9,29.5,0.212
142,Jacksonville,31,63.1,106,0.505,15.3,33.6,0.21
143,James Madison,29,70.5,105.1,0.525,15.4,26.9,0.204
144,Kansas State,31,67.4,101.5,0.494,14.9,25.3,0.215
145,Kansas ,37,69.7,111.4,0.536,15.2,33.3,0.237
146,Kennesaw State,31,68.3,107.7,0.533,15.5,30.9,0.197
147,Kent State,34,67.5,105.6,0.508,15.7,31.2,0.239
148,Kentucky ,34,69.2,114,0.531,14,37.7,0.203
149,La Salle,30,68.4,97.4,0.477,16.4,28.9,0.173
